"TIME_PERIOD","GEO","AGE","SEX","OBS_STATUS","OBS_VALUE"
"2024-W02","CH01","Y65T69","M","P","8"
"2024-W02","CH01","Y65T69","F","P","2"
"2024-W02","CH01","Y70T74","T","P","20"
"2024-W02","CH01","Y70T74","M","P","10"
"2024-W02","CH01","Y70T74","F","P","10"
"2024-W02","CH01","Y75T79","T","P","41"
"2024-W02","CH01","Y75T79","M","P","19"
"2024-W02","CH01","Y75T79","F","P","22"
"2024-W02","CH01","Y80T84","T","P","50"
"2024-W02","CH01","Y80T84","M","P","23"
"2024-W02","CH01","Y80T84","F","P","27"
"2024-W02","CH01","Y85T89","T","P","50"
"2024-W02","CH01","Y85T89","M","P","20"
"2024-W02","CH01","Y85T89","F","P","30"
"2024-W02","CH01","Y_GE90","T","P","85"
"2024-W02","CH01","Y_GE90","M","P","29"
"2024-W02","CH01","Y_GE90","F","P","56"
"2024-W02","CH02","_T","T","P","374"
"2024-W02","CH02","_T","M","P","183"
"2024-W02","CH02","_T","F","P","191"
"2024-W02","CH02","Y0T4","T","P","1"
"2024-W02","CH02","Y0T4","M","P","0"
"2024-W02","CH02","Y0T4","F","P","1"
"2024-W02","CH02","Y5T9","T","P","0"
"2024-W02","CH02","Y5T9","M","P","0"
"2024-W02","CH02","Y5T9","F","P","0"
"2024-W02","CH02","Y10T14","T","P","0"
"2024-W02","CH02","Y10T14","M","P","0"
"2024-W02","CH02","Y10T14","F","P","0"
"2024-W02","CH02","Y15T19","T","P","0"
"2024-W02","CH02","Y15T19","M","P","0"
"2024-W02","CH02","Y15T19","F","P","0"
"2024-W02","CH02","Y20T24","T","P","0"
"2024-W02","CH02","Y20T24","M","P","0"
"2024-W02","CH02","Y20T24","F","P","0"
"2024-W02","CH02","Y25T29","T","P","0"
"2024-W02","CH02","Y25T29","M","P","0"
"2024-W02","CH02","Y25T29","F","P","0"
"2024-W02","CH02","Y30T34","T","P","0"
"2024-W02","CH02","Y30T34","M","P","0"
"2024-W02","CH02","Y30T34","F","P","0"
"2024-W02","CH02","Y35T39","T","P","3"
"2024-W02","CH02","Y35T39","M","P","2"
"2024-W02","CH02","Y35T39","F","P","1"
"2024-W02","CH02","Y40T44","T","P","4"
"2024-W02","CH02","Y40T44","M","P","4"
"2024-W02","CH02","Y40T44","F","P","0"
"2024-W02","CH02","Y45T49","T","P","4"
"2024-W02","CH02","Y45T49","M","P","4"
"2024-W02","CH02","Y45T49","F","P","0"
"2024-W02","CH02","Y50T54","T","P","5"
"2024-W02","CH02","Y50T54","M","P","3"
"2024-W02","CH02","Y50T54","F","P","2"
"2024-W02","CH02","Y55T59","T","P","6"
"2024-W02","CH02","Y55T59","M","P","4"
"2024-W02","CH02","Y55T59","F","P","2"
"2024-W02","CH02","Y60T64","T","P","10"
"2024-W02","CH02","Y60T64","M","P","4"
"2024-W02","CH02","Y60T64","F","P","6"
"2024-W02","CH02","Y65T69","T","P","26"
"2024-W02","CH02","Y65T69","M","P","16"
"2024-W02","CH02","Y65T69","F","P","10"
"2024-W02","CH02","Y70T74","T","P","35"
"2024-W02","CH02","Y70T74","M","P","21"
"2024-W02","CH02","Y70T74","F","P","14"
"2024-W02","CH02","Y75T79","T","P","38"
"2024-W02","CH02","Y75T79","M","P","22"
"2024-W02","CH02","Y75T79","F","P","16"
"2024-W02","CH02","Y80T84","T","P","58"
"2024-W02","CH02","Y80T84","M","P","33"
"2024-W02","CH02","Y80T84","F","P","25"
"2024-W02","CH02","Y85T89","T","P","60"
"2024-W02","CH02","Y85T89","M","P","30"
"2024-W02","CH02","Y85T89","F","P","30"
"2024-W02","CH02","Y_GE90","T","P","124"
"2024-W02","CH02","Y_GE90","M","P","40"
"2024-W02","CH02","Y_GE90","F","P","84"
"2024-W02","CH03","_T","T","P","217"
"2024-W02","CH03","_T","M","P","110"
"2024-W02","CH03","_T","F","P","107"
"2024-W02","CH03","Y0T4","T","P","3"
"2024-W02","CH03","Y0T4","M","P","2"
"2024-W02","CH03","Y0T4","F","P","1"
"2024-W02","CH03","Y5T9","T","P","0"
"2024-W02","CH03","Y5T9","M","P","0"
"2024-W02","CH03","Y5T9","F","P","0"
"2024-W02","CH03","Y10T14","T","P","0"
"2024-W02","CH03","Y10T14","M","P","0"
"2024-W02","CH03","Y10T14","F","P","0"
"2024-W02","CH03","Y15T19","T","P","1"
"2024-W02","CH03","Y15T19","M","P","1"
"2024-W02","CH03","Y15T19","F","P","0"
"2024-W02","CH03","Y20T24","T","P","1"
"2024-W02","CH03","Y20T24","M","P","1"
"2024-W02","CH03","Y20T24","F","P","0"
"2024-W02","CH03","Y25T29","T","P","3"
"2024-W02","CH03","Y25T29","M","P","2"
"2024-W02","CH03","Y25T29","F","P","1"
"2024-W02","CH03","Y30T34","T","P","0"
"2024-W02","CH03","Y30T34","M","P","0"
"2024-W02","CH03","Y30T34","F","P","0"
"2024-W02","CH03","Y35T39","T","P","1"
"2024-W02","CH03","Y35T39","M","P","1"
"2024-W02","CH03","Y35T39","F","P","0"
"2024-W02","CH03","Y40T44","T","P","1"
"2024-W02","CH03","Y40T44","M","P","1"
"2024-W02","CH03","Y40T44","F","P","0"
"2024-W02","CH03","Y45T49","T","P","0"
"2024-W02","CH03","Y45T49","M","P","0"
"2024-W02","CH03","Y45T49","F","P","0"
"2024-W02","CH03","Y50T54","T","P","5"
"2024-W02","CH03","Y50T54","M","P","3"
"2024-W02","CH03","Y50T54","F","P","2"
"2024-W02","CH03","Y55T59","T","P","1"
"2024-W02","CH03","Y55T59","M","P","1"
"2024-W02","CH03","Y55T59","F","P","0"
"2024-W02","CH03","Y60T64","T","P","6"
"2024-W02","CH03","Y60T64","M","P","2"
"2024-W02","CH03","Y60T64","F","P","4"
"2024-W02","CH03","Y65T69","T","P","15"
"2024-W02","CH03","Y65T69","M","P","11"
"2024-W02","CH03","Y65T69","F","P","4"
"2024-W02","CH03","Y70T74","T","P","19"
"2024-W02","CH03","Y70T74","M","P","10"
"2024-W02","CH03","Y70T74","F","P","9"
"2024-W02","CH03","Y75T79","T","P","23"
"2024-W02","CH03","Y75T79","M","P","11"
"2024-W02","CH03","Y75T79","F","P","12"
"2024-W02","CH03","Y80T84","T","P","40"
"2024-W02","CH03","Y80T84","M","P","22"
"2024-W02","CH03","Y80T84","F","P","18"
"2024-W02","CH03","Y85T89","T","P","30"
"2024-W02","CH03","Y85T89","M","P","13"
"2024-W02","CH03","Y85T89","F","P","17"
"2024-W02","CH03","Y_GE90","T","P","68"
"2024-W02","CH03","Y_GE90","M","P","29"
"2024-W02","CH03","Y_GE90","F","P","39"
"2024-W02","CH04","_T","T","P","249"
"2024-W02","CH04","_T","M","P","120"
"2024-W02","CH04","_T","F","P","129"
"2024-W02","CH04","Y0T4","T","P","1"
"2024-W02","CH04","Y0T4","M","P","1"
"2024-W02","CH04","Y0T4","F","P","0"
"2024-W02","CH04","Y5T9","T","P","0"
"2024-W02","CH04","Y5T9","M","P","0"
"2024-W02","CH04","Y5T9","F","P","0"
"2024-W02","CH04","Y10T14","T","P","0"
"2024-W02","CH04","Y10T14","M","P","0"
"2024-W02","CH04","Y10T14","F","P","0"
"2024-W02","CH04","Y15T19","T","P","0"
"2024-W02","CH04","Y15T19","M","P","0"
"2024-W02","CH04","Y15T19","F","P","0"
"2024-W02","CH04","Y20T24","T","P","0"
"2024-W02","CH04","Y20T24","M","P","0"
"2024-W02","CH04","Y20T24","F","P","0"
"2024-W02","CH04","Y25T29","T","P","0"
"2024-W02","CH04","Y25T29","M","P","0"
"2024-W02","CH04","Y25T29","F","P","0"
"2024-W02","CH04","Y30T34","T","P","2"
"2024-W02","CH04","Y30T34","M","P","2"
"2024-W02","CH04","Y30T34","F","P","0"
"2024-W02","CH04","Y35T39","T","P","1"
"2024-W02","CH04","Y35T39","M","P","1"
"2024-W02","CH04","Y35T39","F","P","0"
"2024-W02","CH04","Y40T44","T","P","3"
"2024-W02","CH04","Y40T44","M","P","1"
"2024-W02","CH04","Y40T44","F","P","2"
"2024-W02","CH04","Y45T49","T","P","3"
"2024-W02","CH04","Y45T49","M","P","2"
"2024-W02","CH04","Y45T49","F","P","1"
"2024-W02","CH04","Y50T54","T","P","3"
"2024-W02","CH04","Y50T54","M","P","3"
"2024-W02","CH04","Y50T54","F","P","0"
"2024-W02","CH04","Y55T59","T","P","7"
"2024-W02","CH04","Y55T59","M","P","6"
"2024-W02","CH04","Y55T59","F","P","1"
"2024-W02","CH04","Y60T64","T","P","14"
"2024-W02","CH04","Y60T64","M","P","6"
"2024-W02","CH04","Y60T64","F","P","8"
"2024-W02","CH04","Y65T69","T","P","13"
"2024-W02","CH04","Y65T69","M","P","6"
"2024-W02","CH04","Y65T69","F","P","7"
"2024-W02","CH04","Y70T74","T","P","11"
"2024-W02","CH04","Y70T74","M","P","9"
"2024-W02","CH04","Y70T74","F","P","2"
"2024-W02","CH04","Y75T79","T","P","21"
"2024-W02","CH04","Y75T79","M","P","11"
"2024-W02","CH04","Y75T79","F","P","10"
"2024-W02","CH04","Y80T84","T","P","45"
"2024-W02","CH04","Y80T84","M","P","30"
"2024-W02","CH04","Y80T84","F","P","15"
"2024-W02","CH04","Y85T89","T","P","49"
"2024-W02","CH04","Y85T89","M","P","18"
"2024-W02","CH04","Y85T89","F","P","31"
"2024-W02","CH04","Y_GE90","T","P","76"
"2024-W02","CH04","Y_GE90","M","P","24"
"2024-W02","CH04","Y_GE90","F","P","52"
"2024-W02","CH05","_T","T","P","207"
"2024-W02","CH05","_T","M","P","96"
"2024-W02","CH05","_T","F","P","111"
"2024-W02","CH05","Y0T4","T","P","0"
"2024-W02","CH05","Y0T4","M","P","0"
"2024-W02","CH05","Y0T4","F","P","0"
"2024-W02","CH05","Y5T9","T","P","0"
"2024-W02","CH05","Y5T9","M","P","0"
"2024-W02","CH05","Y5T9","F","P","0"
"2024-W02","CH05","Y10T14","T","P","0"
"2024-W02","CH05","Y10T14","M","P","0"
"2024-W02","CH05","Y10T14","F","P","0"
"2024-W02","CH05","Y15T19","T","P","0"
"2024-W02","CH05","Y15T19","M","P","0"
"2024-W02","CH05","Y15T19","F","P","0"
"2024-W02","CH05","Y20T24","T","P","0"
"2024-W02","CH05","Y20T24","M","P","0"
"2024-W02","CH05","Y20T24","F","P","0"
"2024-W02","CH05","Y25T29","T","P","0"
"2024-W02","CH05","Y25T29","M","P","0"
"2024-W02","CH05","Y25T29","F","P","0"
"2024-W02","CH05","Y30T34","T","P","2"
"2024-W02","CH05","Y30T34","M","P","0"
"2024-W02","CH05","Y30T34","F","P","2"
"2024-W02","CH05","Y35T39","T","P","1"
"2024-W02","CH05","Y35T39","M","P","1"
"2024-W02","CH05","Y35T39","F","P","0"
"2024-W02","CH05","Y40T44","T","P","0"
"2024-W02","CH05","Y40T44","M","P","0"
"2024-W02","CH05","Y40T44","F","P","0"
"2024-W02","CH05","Y45T49","T","P","2"
"2024-W02","CH05","Y45T49","M","P","1"
"2024-W02","CH05","Y45T49","F","P","1"
"2024-W02","CH05","Y50T54","T","P","3"
"2024-W02","CH05","Y50T54","M","P","2"
"2024-W02","CH05","Y50T54","F","P","1"
"2024-W02","CH05","Y55T59","T","P","5"
"2024-W02","CH05","Y55T59","M","P","0"
"2024-W02","CH05","Y55T59","F","P","5"
"2024-W02","CH05","Y60T64","T","P","8"
"2024-W02","CH05","Y60T64","M","P","4"
"2024-W02","CH05","Y60T64","F","P","4"
"2024-W02","CH05","Y65T69","T","P","15"
"2024-W02","CH05","Y65T69","M","P","11"
"2024-W02","CH05","Y65T69","F","P","4"
"2024-W02","CH05","Y70T74","T","P","12"
"2024-W02","CH05","Y70T74","M","P","5"
"2024-W02","CH05","Y70T74","F","P","7"
"2024-W02","CH05","Y75T79","T","P","20"
"2024-W02","CH05","Y75T79","M","P","10"
"2024-W02","CH05","Y75T79","F","P","10"
"2024-W02","CH05","Y80T84","T","P","34"
"2024-W02","CH05","Y80T84","M","P","21"
"2024-W02","CH05","Y80T84","F","P","13"
"2024-W02","CH05","Y85T89","T","P","45"
"2024-W02","CH05","Y85T89","M","P","25"
"2024-W02","CH05","Y85T89","F","P","20"
"2024-W02","CH05","Y_GE90","T","P","60"
"2024-W02","CH05","Y_GE90","M","P","16"
"2024-W02","CH05","Y_GE90","F","P","44"
"2024-W02","CH06","_T","T","P","130"
"2024-W02","CH06","_T","M","P","75"
"2024-W02","CH06","_T","F","P","55"
"2024-W02","CH06","Y0T4","T","P","1"
"2024-W02","CH06","Y0T4","M","P","1"
"2024-W02","CH06","Y0T4","F","P","0"
"2024-W02","CH06","Y5T9","T","P","0"
"2024-W02","CH06","Y5T9","M","P","0"
"2024-W02","CH06","Y5T9","F","P","0"
"2024-W02","CH06","Y10T14","T","P","0"
"2024-W02","CH06","Y10T14","M","P","0"
"2024-W02","CH06","Y10T14","F","P","0"
"2024-W02","CH06","Y15T19","T","P","0"
"2024-W02","CH06","Y15T19","M","P","0"
"2024-W02","CH06","Y15T19","F","P","0"
"2024-W02","CH06","Y20T24","T","P","0"
"2024-W02","CH06","Y20T24","M","P","0"
"2024-W02","CH06","Y20T24","F","P","0"
"2024-W02","CH06","Y25T29","T","P","0"
"2024-W02","CH06","Y25T29","M","P","0"
"2024-W02","CH06","Y25T29","F","P","0"
"2024-W02","CH06","Y30T34","T","P","0"
"2024-W02","CH06","Y30T34","M","P","0"
"2024-W02","CH06","Y30T34","F","P","0"
"2024-W02","CH06","Y35T39","T","P","3"
"2024-W02","CH06","Y35T39","M","P","3"
"2024-W02","CH06","Y35T39","F","P","0"
"2024-W02","CH06","Y40T44","T","P","0"
"2024-W02","CH06","Y40T44","M","P","0"
"2024-W02","CH06","Y40T44","F","P","0"
"2024-W02","CH06","Y45T49","T","P","1"
"2024-W02","CH06","Y45T49","M","P","1"
"2024-W02","CH06","Y45T49","F","P","0"
"2024-W02","CH06","Y50T54","T","P","2"
"2024-W02","CH06","Y50T54","M","P","1"
"2024-W02","CH06","Y50T54","F","P","1"
"2024-W02","CH06","Y55T59","T","P","3"
"2024-W02","CH06","Y55T59","M","P","2"
"2024-W02","CH06","Y55T59","F","P","1"
"2024-W02","CH06","Y60T64","T","P","5"
"2024-W02","CH06","Y60T64","M","P","2"
"2024-W02","CH06","Y60T64","F","P","3"
"2024-W02","CH06","Y65T69","T","P","3"
"2024-W02","CH06","Y65T69","M","P","3"
"2024-W02","CH06","Y65T69","F","P","0"
"2024-W02","CH06","Y70T74","T","P","5"
"2024-W02","CH06","Y70T74","M","P","2"
"2024-W02","CH06","Y70T74","F","P","3"
"2024-W02","CH06","Y75T79","T","P","18"
"2024-W02","CH06","Y75T79","M","P","12"
"2024-W02","CH06","Y75T79","F","P","6"
"2024-W02","CH06","Y80T84","T","P","22"
"2024-W02","CH06","Y80T84","M","P","16"
"2024-W02","CH06","Y80T84","F","P","6"
"2024-W02","CH06","Y85T89","T","P","33"
"2024-W02","CH06","Y85T89","M","P","19"
"2024-W02","CH06","Y85T89","F","P","14"
"2024-W02","CH06","Y_GE90","T","P","34"
"2024-W02","CH06","Y_GE90","M","P","13"
"2024-W02","CH06","Y_GE90","F","P","21"
"2024-W02","CH07","_T","T","P","88"
"2024-W02","CH07","_T","M","P","42"
"2024-W02","CH07","_T","F","P","46"
"2024-W02","CH07","Y0T4","T","P","0"
"2024-W02","CH07","Y0T4","M","P","0"
"2024-W02","CH07","Y0T4","F","P","0"
"2024-W02","CH07","Y5T9","T","P","0"
"2024-W02","CH07","Y5T9","M","P","0"
"2024-W02","CH07","Y5T9","F","P","0"
"2024-W02","CH07","Y10T14","T","P","0"
"2024-W02","CH07","Y10T14","M","P","0"
"2024-W02","CH07","Y10T14","F","P","0"
"2024-W02","CH07","Y15T19","T","P","0"
"2024-W02","CH07","Y15T19","M","P","0"
"2024-W02","CH07","Y15T19","F","P","0"
"2024-W02","CH07","Y20T24","T","P","0"
"2024-W02","CH07","Y20T24","M","P","0"
"2024-W02","CH07","Y20T24","F","P","0"
"2024-W02","CH07","Y25T29","T","P","1"
"2024-W02","CH07","Y25T29","M","P","0"
"2024-W02","CH07","Y25T29","F","P","1"
"2024-W02","CH07","Y30T34","T","P","0"
"2024-W02","CH07","Y30T34","M","P","0"
"2024-W02","CH07","Y30T34","F","P","0"
"2024-W02","CH07","Y35T39","T","P","1"
"2024-W02","CH07","Y35T39","M","P","1"
"2024-W02","CH07","Y35T39","F","P","0"
"2024-W02","CH07","Y40T44","T","P","0"
"2024-W02","CH07","Y40T44","M","P","0"
"2024-W02","CH07","Y40T44","F","P","0"
"2024-W02","CH07","Y45T49","T","P","0"
"2024-W02","CH07","Y45T49","M","P","0"
"2024-W02","CH07","Y45T49","F","P","0"
"2024-W02","CH07","Y50T54","T","P","2"
"2024-W02","CH07","Y50T54","M","P","2"
"2024-W02","CH07","Y50T54","F","P","0"
"2024-W02","CH07","Y55T59","T","P","1"
"2024-W02","CH07","Y55T59","M","P","0"
"2024-W02","CH07","Y55T59","F","P","1"
"2024-W02","CH07","Y60T64","T","P","1"
"2024-W02","CH07","Y60T64","M","P","0"
"2024-W02","CH07","Y60T64","F","P","1"
"2024-W02","CH07","Y65T69","T","P","5"
"2024-W02","CH07","Y65T69","M","P","2"
"2024-W02","CH07","Y65T69","F","P","3"
"2024-W02","CH07","Y70T74","T","P","2"
"2024-W02","CH07","Y70T74","M","P","1"
"2024-W02","CH07","Y70T74","F","P","1"
"2024-W02","CH07","Y75T79","T","P","11"
"2024-W02","CH07","Y75T79","M","P","7"
"2024-W02","CH07","Y75T79","F","P","4"
"2024-W02","CH07","Y80T84","T","P","15"
"2024-W02","CH07","Y80T84","M","P","11"
"2024-W02","CH07","Y80T84","F","P","4"
"2024-W02","CH07","Y85T89","T","P","15"
"2024-W02","CH07","Y85T89","M","P","6"
"2024-W02","CH07","Y85T89","F","P","9"
"2024-W02","CH07","Y_GE90","T","P","34"
"2024-W02","CH07","Y_GE90","M","P","12"
"2024-W02","CH07","Y_GE90","F","P","22"
"2024-W03","CH","_T","T","P","1511"
"2024-W03","CH","_T","M","P","713"
"2024-W03","CH","_T","F","P","798"
"2024-W03","CH","Y0T4","T","P","4"
"2024-W03","CH","Y0T4","M","P","3"
"2024-W03","CH","Y0T4","F","P","1"
"2024-W03","CH","Y5T9","T","P","1"
"2024-W03","CH","Y5T9","M","P","1"
"2024-W03","CH","Y5T9","F","P","0"
"2024-W03","CH","Y10T14","T","P","2"
"2024-W03","CH","Y10T14","M","P","2"
"2024-W03","CH","Y10T14","F","P","0"
"2024-W03","CH","Y15T19","T","P","1"
"2024-W03","CH","Y15T19","M","P","1"
"2024-W03","CH","Y15T19","F","P","0"
"2024-W03","CH","Y20T24","T","P","3"
"2024-W03","CH","Y20T24","M","P","2"
"2024-W03","CH","Y20T24","F","P","1"
"2024-W03","CH","Y25T29","T","P","1"
"2024-W03","CH","Y25T29","M","P","1"
"2024-W03","CH","Y25T29","F","P","0"
"2024-W03","CH","Y30T34","T","P","4"
"2024-W03","CH","Y30T34","M","P","3"
"2024-W03","CH","Y30T34","F","P","1"
"2024-W03","CH","Y35T39","T","P","9"
"2024-W03","CH","Y35T39","M","P","7"
"2024-W03","CH","Y35T39","F","P","2"
"2024-W03","CH","Y40T44","T","P","9"
"2024-W03","CH","Y40T44","M","P","7"
"2024-W03","CH","Y40T44","F","P","2"
"2024-W03","CH","Y45T49","T","P","10"
"2024-W03","CH","Y45T49","M","P","7"
"2024-W03","CH","Y45T49","F","P","3"
"2024-W03","CH","Y50T54","T","P","18"
"2024-W03","CH","Y50T54","M","P","10"
"2024-W03","CH","Y50T54","F","P","8"
"2024-W03","CH","Y55T59","T","P","41"
"2024-W03","CH","Y55T59","M","P","29"
"2024-W03","CH","Y55T59","F","P","12"
"2024-W03","CH","Y60T64","T","P","58"
"2024-W03","CH","Y60T64","M","P","34"
"2024-W03","CH","Y60T64","F","P","24"
"2024-W03","CH","Y65T69","T","P","86"
"2024-W03","CH","Y65T69","M","P","57"
"2024-W03","CH","Y65T69","F","P","29"
"2024-W03","CH","Y70T74","T","P","89"
"2024-W03","CH","Y70T74","M","P","48"
"2024-W03","CH","Y70T74","F","P","41"
"2024-W03","CH","Y75T79","T","P","156"
"2024-W03","CH","Y75T79","M","P","88"
"2024-W03","CH","Y75T79","F","P","68"
"2024-W03","CH","Y80T84","T","P","253"
"2024-W03","CH","Y80T84","M","P","124"
"2024-W03","CH","Y80T84","F","P","129"
"2024-W03","CH","Y85T89","T","P","288"
"2024-W03","CH","Y85T89","M","P","133"
"2024-W03","CH","Y85T89","F","P","155"
"2024-W03","CH","Y_GE90","T","P","478"
"2024-W03","CH","Y_GE90","M","P","156"
"2024-W03","CH","Y_GE90","F","P","322"
"2024-W03","CH01","_T","T","P","285"
"2024-W03","CH01","_T","M","P","151"
"2024-W03","CH01","_T","F","P","134"
"2024-W03","CH01","Y0T4","T","P","0"
"2024-W03","CH01","Y0T4","M","P","0"
"2024-W03","CH01","Y0T4","F","P","0"
"2024-W03","CH01","Y5T9","T","P","0"
"2024-W03","CH01","Y5T9","M","P","0"
"2024-W03","CH01","Y5T9","F","P","0"
"2024-W03","CH01","Y10T14","T","P","0"
"2024-W03","CH01","Y10T14","M","P","0"
"2024-W03","CH01","Y10T14","F","P","0"
"2024-W03","CH01","Y15T19","T","P","0"
"2024-W03","CH01","Y15T19","M","P","0"
"2024-W03","CH01","Y15T19","F","P","0"
"2024-W03","CH01","Y20T24","T","P","0"
"2024-W03","CH01","Y20T24","M","P","0"
"2024-W03","CH01","Y20T24","F","P","0"
"2024-W03","CH01","Y25T29","T","P","0"
"2024-W03","CH01","Y25T29","M","P","0"
"2024-W03","CH01","Y25T29","F","P","0"
"2024-W03","CH01","Y30T34","T","P","0"
"2024-W03","CH01","Y30T34","M","P","0"
"2024-W03","CH01","Y30T34","F","P","0"
"2024-W03","CH01","Y35T39","T","P","2"
"2024-W03","CH01","Y35T39","M","P","2"
"2024-W03","CH01","Y35T39","F","P","0"
"2024-W03","CH01","Y40T44","T","P","6"
"2024-W03","CH01","Y40T44","M","P","5"
"2024-W03","CH01","Y40T44","F","P","1"
"2024-W03","CH01","Y45T49","T","P","3"
"2024-W03","CH01","Y45T49","M","P","3"
"2024-W03","CH01","Y45T49","F","P","0"
"2024-W03","CH01","Y50T54","T","P","4"
"2024-W03","CH01","Y50T54","M","P","4"
"2024-W03","CH01","Y50T54","F","P","0"
"2024-W03","CH01","Y55T59","T","P","5"
"2024-W03","CH01","Y55T59","M","P","3"
"2024-W03","CH01","Y55T59","F","P","2"
"2024-W03","CH01","Y60T64","T","P","8"
"2024-W03","CH01","Y60T64","M","P","3"
"2024-W03","CH01","Y60T64","F","P","5"
"2024-W03","CH01","Y65T69","T","P","18"
"2024-W03","CH01","Y65T69","M","P","14"
"2024-W03","CH01","Y65T69","F","P","4"
"2024-W03","CH01","Y70T74","T","P","18"
"2024-W03","CH01","Y70T74","M","P","14"
"2024-W03","CH01","Y70T74","F","P","4"
"2024-W03","CH01","Y75T79","T","P","33"
"2024-W03","CH01","Y75T79","M","P","17"
"2024-W03","CH01","Y75T79","F","P","16"
"2024-W03","CH01","Y80T84","T","P","52"
"2024-W03","CH01","Y80T84","M","P","32"
"2024-W03","CH01","Y80T84","F","P","20"
"2024-W03","CH01","Y85T89","T","P","45"
"2024-W03","CH01","Y85T89","M","P","21"
"2024-W03","CH01","Y85T89","F","P","24"
"2024-W03","CH01","Y_GE90","T","P","91"
"2024-W03","CH01","Y_GE90","M","P","33"
"2024-W03","CH01","Y_GE90","F","P","58"
"2024-W03","CH02","_T","T","P","352"
"2024-W03","CH02","_T","M","P","169"
"2024-W03","CH02","_T","F","P","183"
"2024-W03","CH02","Y0T4","T","P","1"
"2024-W03","CH02","Y0T4","M","P","1"
"2024-W03","CH02","Y0T4","F","P","0"
"2024-W03","CH02","Y5T9","T","P","1"
"2024-W03","CH02","Y5T9","M","P","1"
"2024-W03","CH02","Y5T9","F","P","0"
"2024-W03","CH02","Y10T14","T","P","1"
"2024-W03","CH02","Y10T14","M","P","1"
"2024-W03","CH02","Y10T14","F","P","0"
"2024-W03","CH02","Y15T19","T","P","0"
"2024-W03","CH02","Y15T19","M","P","0"
"2024-W03","CH02","Y15T19","F","P","0"
"2024-W03","CH02","Y20T24","T","P","0"
"2024-W03","CH02","Y20T24","M","P","0"
"2024-W03","CH02","Y20T24","F","P","0"
"2024-W03","CH02","Y25T29","T","P","0"
"2024-W03","CH02","Y25T29","M","P","0"
"2024-W03","CH02","Y25T29","F","P","0"
"2024-W03","CH02","Y30T34","T","P","1"
"2024-W03","CH02","Y30T34","M","P","1"
"2024-W03","CH02","Y30T34","F","P","0"
"2024-W03","CH02","Y35T39","T","P","1"
"2024-W03","CH02","Y35T39","M","P","0"
"2024-W03","CH02","Y35T39","F","P","1"
"2024-W03","CH02","Y40T44","T","P","0"
"2024-W03","CH02","Y40T44","M","P","0"
"2024-W03","CH02","Y40T44","F","P","0"
"2024-W03","CH02","Y45T49","T","P","3"
"2024-W03","CH02","Y45T49","M","P","2"
"2024-W03","CH02","Y45T49","F","P","1"
"2024-W03","CH02","Y50T54","T","P","4"
"2024-W03","CH02","Y50T54","M","P","4"
"2024-W03","CH02","Y50T54","F","P","0"
"2024-W03","CH02","Y55T59","T","P","16"
"2024-W03","CH02","Y55T59","M","P","13"
"2024-W03","CH02","Y55T59","F","P","3"
"2024-W03","CH02","Y60T64","T","P","15"
"2024-W03","CH02","Y60T64","M","P","12"
"2024-W03","CH02","Y60T64","F","P","3"
"2024-W03","CH02","Y65T69","T","P","19"
"2024-W03","CH02","Y65T69","M","P","13"
"2024-W03","CH02","Y65T69","F","P","6"
"2024-W03","CH02","Y70T74","T","P","27"
"2024-W03","CH02","Y70T74","M","P","10"
"2024-W03","CH02","Y70T74","F","P","17"
"2024-W03","CH02","Y75T79","T","P","39"
"2024-W03","CH02","Y75T79","M","P","20"
"2024-W03","CH02","Y75T79","F","P","19"
"2024-W03","CH02","Y80T84","T","P","53"
"2024-W03","CH02","Y80T84","M","P","26"
